timestamp,sensor_name,value
1512833172927,Temperature_1,23.43
1512833172930,Humidity_1,13.779230059961726
1512833172933,Brightness_1,13.0
1512833172936,Temperature_2,23.31
1512833172939,Humidity_2,12.052751731550176
1512833172942,Brightness_2,101.0
1512833175346,Sound_P,68.61682354019833
1512833175349,PodiumIR,111
1512833179444,Temperature_1,23.43
1512833179447,Humidity_1,13.779230059961726
1512833179451,Brightness_1,13.0
1512833179453,Temperature_2,23.31
1512833179456,Humidity_2,12.176071612151
1512833179459,Brightness_2,101.0
1512833185352,Sound_P,67.01551720930587
1512833185355,PodiumIR,108
1512833186372,Temperature_1,23.43
1512833186376,Humidity_1,13.779230059961726
1512833186379,Brightness_1,13.0
1512833186382,Temperature_2,23.31
1512833186384,Humidity_2,12.176071612151
1512833186387,Brightness_2,101.0
1512833192916,Temperature_1,23.43
1512833192919,Humidity_1,13.779230059961726
1512833192932,Brightness_1,13.0
1512833192934,Temperature_2,23.31
1512833192937,Humidity_2,12.176071612151
1512833192940,Brightness_2,101.0
1512833195358,Sound_P,69.60540278108363
1512833195361,PodiumIR,93
1512833199724,Temperature_1,23.43
1512833199726,Humidity_1,13.779230059961726
1512833199729,Brightness_1,13.0
1512833199732,Temperature_2,23.31
1512833199734,Humidity_2,12.176071612151
1512833199737,Brightness_2,101.0
1512833205364,Sound_P,68.0998289029382
1512833205367,PodiumIR,109
1512833206121,Temperature_1,23.43
1512833206124,Humidity_1,13.779230059961726
1512833206127,Brightness_1,13.0
1512833206130,Temperature_2,23.31
1512833206132,Humidity_2,12.176071612151
1512833206136,Brightness_2,101.0
1512833212540,Temperature_1,23.43
1512833212543,Humidity_1,13.779230059961726
1512833212545,Brightness_1,13.0
1512833212548,Temperature_2,23.31
1512833212551,Humidity_2,12.176071612151
1512833212553,Brightness_2,101.0
1512833215370,Sound_P,68.61682354019833
1512833215373,PodiumIR,106
1512833219176,Temperature_1,23.43
1512833219179,Humidity_1,13.779230059961726
1512833219184,Brightness_1,13.0
1512833219187,Temperature_2,23.31
1512833219190,Humidity_2,12.176071612151
1512833219193,Brightness_2,101.0
1512833225376,Sound_P,68.61682354019833
