timestamp,sensor_name,value
1511083164410,Temperature_1,23.67
1511083164413,Humidity_1,13.655910179360902
1511083164417,Brightness_1,72.0
1511083164419,Temperature_2,23.43
1511083164422,Humidity_2,13.902549940562547
1511083164427,Brightness_2,79.0
1511083167101,Sound_P,55.369951428718224
1511083167104,PodiumIR,81
1511083169073,Sound_R,58.25401559545545
1511083170948,Temperature_1,23.67
1511083170951,Humidity_1,13.655910179360902
1511083170954,Brightness_1,72.0
1511083170956,Temperature_2,23.43
1511083170960,Humidity_2,13.902549940562547
1511083170963,Brightness_2,79.0
1511083176903,Motion_6,False
1511083176903,Motion_1,True
1511083176903,Motion_8,True
1511083176908,Motion_7,True
1511083177109,Sound_P,55.369951428718224
1511083177112,PodiumIR,82
1511083177706,Temperature_1,23.67
1511083177709,Humidity_1,13.655910179360902
1511083177712,Brightness_1,72.0
1511083177715,Temperature_2,23.43
1511083177719,Humidity_2,13.902549940562547
1511083177722,Brightness_2,79.0
1511083179073,Sound_R,56.70259566101189
1511083181891,Motion_6,True
1511083184101,Temperature_1,23.67
1511083184104,Humidity_1,13.655910179360902
1511083184110,Brightness_1,72.0
1511083184117,Temperature_2,23.43
1511083184119,Humidity_2,13.902549940562547
1511083184121,Brightness_2,79.0
1511083185462,Motion_5,True
1511083187120,Sound_P,55.369951428718224
1511083187124,PodiumIR,96
1511083189073,Sound_R,55.47776458476097
1511083189805,Motion_1,True
1511083189805,Motion_8,True
1511083189805,Motion_7,True
1511083190814,Temperature_1,23.67
1511083190817,Humidity_1,13.655910179360902
1511083190820,Brightness_1,72.0
1511083190823,Temperature_2,23.43
1511083190826,Humidity_2,13.902549940562547
1511083190830,Brightness_2,79.0
1511083195093,Motion_6,False
1511083195093,Seat_4,True
1511083195889,Door,activate
1511083197131,Sound_P,54.210802194865956
1511083197134,PodiumIR,74
1511083197572,Temperature_1,23.67
1511083197575,Humidity_1,13.655910179360902
1511083197578,Brightness_1,72.0
1511083197580,Temperature_2,23.43
1511083197582,Humidity_2,14.025869821163372
1511083197587,Brightness_2,80.0
1511083199073,Sound_R,56.5137308541207
1511083201301,Motion_5,False
1511083201301,Motion_6,True
1511083203537,Motion_1,False
1511083203537,Motion_8,False
1511083203537,Motion_7,True
1511083204023,Temperature_1,23.43
1511083204027,Humidity_1,13.779230059961726
1511083204030,Brightness_1,72.0
1511083204033,Temperature_2,23.43
1511083204034,Humidity_2,14.025869821163372
1511083204039,Brightness_2,80.0
1511083207143,Sound_P,63.26648240367583
1511083207152,PodiumIR,87
1511083209073,Sound_R,64.06392807379807
1511083210431,Temperature_1,23.43
1511083210434,Humidity_1,13.779230059961726
1511083210438,Brightness_1,72.0
1511083210440,Temperature_2,23.43
1511083210443,Humidity_2,14.025869821163372
1511083210447,Brightness_2,80.0
1511083214418,Motion_5,False
1511083214418,Motion_8,True
1511083214418,Motion_1,True
1511083216149,Motion_6,True
1511083216149,Motion_7,True
1511083217161,Sound_P,58.433135904413454
1511083217165,PodiumIR,56
1511083217168,Temperature_1,23.43
1511083217172,Humidity_1,13.779230059961726
1511083217175,Brightness_1,72.0
1511083217179,Temperature_2,23.43
1511083217185,Humidity_2,14.025869821163372
1511083217189,Brightness_2,80.0
1511083217359,Motion_5,True
1511083219073,Sound_R,69.05008245503454
1511083221492,Seat_3,True
1511083223890,Temperature_1,23.43
1511083223893,Humidity_1,13.779230059961726
1511083223896,Brightness_1,72.0
1511083223899,Temperature_2,23.43
1511083223900,Humidity_2,14.025869821163372
1511083223905,Brightness_2,80.0
1511083226374,Motion_2,True
1511083226374,Motion_8,False
1511083227171,Sound_P,54.210802194865956
1511083227174,PodiumIR,93
1511083229073,Sound_R,64.90729863184008
1511083230373,Temperature_1,23.43
1511083230376,Humidity_1,13.779230059961726
1511083230379,Brightness_1,72.0
1511083230381,Temperature_2,23.43
1511083230383,Humidity_2,14.025869821163372
1511083230387,Brightness_2,80.0
1511083234464,Motion_1,False
1511083234464,Motion_6,False
1511083234464,Motion_7,False
1511083234464,Motion_5,False
1511083237113,Temperature_1,23.43
1511083237117,Humidity_1,13.779230059961726
1511083237120,Brightness_1,72.0
