timestamp,sensor_name,value
1512641832884,Sound_P,73.06392314376754
1512641832888,PodiumIR,116
1512641835201,Temperature_1,24.84
1512641835204,Humidity_1,16.492267433179883
1512641835211,Temperature_2,24.25
1512641835213,Humidity_2,15.259068627171624
1512641835217,Brightness_2,6.0
1512641841903,Temperature_1,24.84
1512641841906,Humidity_1,16.492267433179883
1512641841911,Temperature_2,24.25
1512641841913,Humidity_2,15.382388507772458
1512641841916,Brightness_2,6.0
1512641842893,Sound_P,70.0787016850011
1512641842896,PodiumIR,95
1512641848515,Temperature_1,24.96
1512641848518,Humidity_1,16.492267433179883
1512641848531,Temperature_2,24.25
1512641848533,Humidity_2,15.382388507772458
1512641848537,Brightness_2,6.0
1512641852576,Door,activate
1512641852900,Sound_P,75.25847282855663
1512641852903,PodiumIR,109
1512641853144,Door,activate
1512641854951,Temperature_1,24.96
1512641854954,Humidity_1,16.492267433179883
1512641854960,Temperature_2,24.25
1512641854962,Humidity_2,15.382388507772458
1512641854965,Brightness_2,6.0
1512641861681,Temperature_1,24.96
1512641861684,Humidity_1,16.492267433179883
1512641861690,Temperature_2,24.25
1512641861692,Humidity_2,15.382388507772458
1512641861695,Brightness_2,6.0
1512641862908,Sound_P,68.0998289029382
1512641862911,PodiumIR,100
1512641868110,Temperature_1,24.96
1512641868112,Humidity_1,16.492267433179883
1512641868118,Temperature_2,24.25
1512641868120,Humidity_2,15.382388507772458
1512641868122,Brightness_2,6.0
1512641870345,Door,activate
1512641871745,Door,activate
1512641872914,Sound_P,69.11838317407611
1512641872918,PodiumIR,98
1512641874511,Temperature_1,24.96
1512641874514,Humidity_1,16.492267433179883
1512641874520,Temperature_2,24.25
1512641874523,Humidity_2,15.382388507772458
1512641874526,Brightness_2,6.0
1512641881337,Temperature_1,24.96
1512641881340,Humidity_1,16.492267433179883
1512641881346,Temperature_2,24.25
1512641881349,Humidity_2,15.382388507772458
1512641881353,Brightness_2,6.0
1512641882760,Door,activate
1512641882923,Sound_P,69.11838317407611
1512641882926,PodiumIR,86
1512641885144,Door,activate
1512641887731,Temperature_1,24.96
1512641887734,Humidity_1,16.492267433179883
1512641887741,Temperature_2,24.25
1512641887743,Humidity_2,15.382388507772458
1512641887747,Brightness_2,6.0
1512641892931,Sound_P,72.26372429269907
1512641892941,PodiumIR,97
1512641894435,Temperature_1,24.96
1512641894439,Humidity_1,16.492267433179883
1512641894445,Temperature_2,24.25
1512641894448,Humidity_2,15.382388507772458
1512641894451,Brightness_2,6.0
1512641900847,Temperature_1,24.96
1512641900851,Humidity_1,16.492267433179883
1512641900857,Temperature_2,24.25
1512641900860,Humidity_2,15.259068627171624
1512641900863,Brightness_2,6.0
1512641902947,Sound_P,71.84886370856825
1512641902951,PodiumIR,102
1512641907543,Temperature_1,24.96
1512641907546,Humidity_1,16.492267433179883
1512641907553,Temperature_2,24.25
1512641907556,Humidity_2,15.259068627171624
1512641907560,Brightness_2,6.0
1512641912956,Sound_P,69.60540278108363
1512641912959,PodiumIR,97
1512641914016,Door,activate
1512641914209,Temperature_1,24.96
1512641914212,Humidity_1,16.492267433179883
1512641914218,Temperature_2,24.25
1512641914221,Humidity_2,15.259068627171624
1512641914223,Brightness_2,6.0
1512641920611,Temperature_1,24.96
1512641920614,Humidity_1,16.492267433179883
1512641920620,Temperature_2,24.25
