timestamp,sensor_name,value
1513569549403,Temperature_1,24.84
1513569549407,Humidity_1,8.72311495532788
1513569549410,Brightness_1,35.0
1513569549412,Temperature_2,25.66
1513569549414,Humidity_2,5.886757701508897
1513569549417,Brightness_2,144.0
1513569553579,Sound_P,69.11838317407611
1513569553583,PodiumIR,92
1513569555813,Temperature_1,24.84
1513569555815,Humidity_1,8.72311495532788
1513569555819,Brightness_1,35.0
1513569555821,Temperature_2,25.66
1513569555823,Humidity_2,5.886757701508897
1513569555826,Brightness_2,144.0
1513569562517,Temperature_1,24.84
1513569562520,Humidity_1,8.72311495532788
1513569562523,Brightness_1,35.0
1513569562525,Temperature_2,25.66
1513569562527,Humidity_2,5.886757701508897
1513569562530,Brightness_2,144.0
1513569563585,Sound_P,71.42349921662418
1513569563589,PodiumIR,88
1513569566089,Motion_4,False
1513569568922,Temperature_1,24.84
1513569568925,Humidity_1,8.72311495532788
1513569568929,Brightness_1,35.0
1513569568931,Temperature_2,25.66
1513569568934,Humidity_2,5.886757701508897
1513569568937,Brightness_2,144.0
1513569573591,Sound_P,72.26372429269907
1513569573594,PodiumIR,81
1513569575611,Temperature_1,24.84
1513569575614,Humidity_1,8.72311495532788
1513569575617,Brightness_1,35.0
1513569575620,Temperature_2,25.66
1513569575622,Humidity_2,5.886757701508897
1513569575625,Brightness_2,144.0
1513569583597,Sound_P,73.45017003946069
1513569583601,PodiumIR,115
1513569593603,Sound_P,72.26372429269907
1513569593607,PodiumIR,101
1513569597042,Temperature_1,24.84
1513569597045,Humidity_1,8.72311495532788
1513569597048,Brightness_1,35.0
1513569597051,Temperature_2,25.78
1513569597053,Humidity_2,6.010077582109722
1513569597055,Brightness_2,181.0
1513569603610,Sound_P,70.987085069563
1513569603613,PodiumIR,107
1513569604087,Temperature_1,24.84
1513569604090,Humidity_1,8.72311495532788
1513569604093,Brightness_1,46.0
1513569604095,Temperature_2,25.78
1513569604098,Humidity_2,6.010077582109722
1513569604100,Brightness_2,181.0
1513569610685,Temperature_1,24.84
1513569610689,Humidity_1,8.72311495532788
1513569610694,Brightness_1,46.0
1513569610697,Temperature_2,25.78
1513569610699,Humidity_2,6.010077582109722
1513569610701,Brightness_2,181.0
1513569613615,Sound_P,71.84886370856825
1513569613619,PodiumIR,87
1513569617397,Temperature_1,24.84
1513569617400,Humidity_1,8.72311495532788
1513569617403,Brightness_1,46.0
1513569617406,Temperature_2,25.78
1513569617408,Humidity_2,6.010077582109722
1513569617411,Brightness_2,181.0
1513569623621,Sound_P,72.26372429269907
1513569623625,PodiumIR,97
1513569624154,Temperature_1,24.84
1513569624158,Humidity_1,8.72311495532788
1513569624161,Brightness_1,46.0
1513569624163,Temperature_2,25.78
1513569624165,Humidity_2,6.010077582109722
1513569624168,Brightness_2,181.0
1513569630605,Temperature_1,24.84
1513569630609,Humidity_1,8.72311495532788
1513569630612,Brightness_1,46.0
1513569630615,Temperature_2,25.78
1513569630617,Humidity_2,6.010077582109722
1513569630620,Brightness_2,181.0
1513569633627,Sound_P,73.82773649063114
1513569633631,PodiumIR,96
1513569637011,Temperature_1,24.84
1513569637014,Humidity_1,8.72311495532788
1513569637018,Brightness_1,46.0
1513569637020,Temperature_2,25.78
1513569637022,Humidity_2,6.010077582109722
1513569637024,Brightness_2,181.0
1513569643633,Sound_P,72.26372429269907
1513569643637,PodiumIR,99
1513569643657,Temperature_1,24.84
1513569643660,Humidity_1,8.72311495532788
1513569643663,Brightness_1,46.0
