sensor_name,value_type,total_readings,episodes_present,activities_present
Aircon_1,Event/state,94,62,9
Aircon_2,Event/state,58,45,9
Brightness_1,Numeric,114592,322,9
Brightness_2,Numeric,118244,326,9
Door,Event/state,4720,696,9
Humidity_1,Numeric,168979,502,9
Humidity_2,Numeric,155668,462,9
Light_1,Event/state,358,127,9
Light_2,Event/state,738,295,9
Light_2	,Event/state,2,1,1
Light_3,Event/state,352,130,9
Motion_1,Boolean,13623,371,9
Motion_2,Boolean,12212,343,9
Motion_3,Boolean,8531,228,9
Motion_4,Boolean,8364,243,9
Motion_5,Boolean,10672,288,9
Motion_6,Boolean,7009,363,9
Motion_7,Boolean,9991,367,9
Motion_8,Boolean,10477,370,9
PodiumIR,Numeric,159559,673,9
Projector,Event/state,194,107,8
Projector ,Event/state,1,1,1
Seat_1,Boolean,700,120,9
Seat_10,Boolean,293,118,9
Seat_11,Boolean,327,110,8
Seat_12,Boolean,312,107,9
Seat_2,Boolean,526,116,9
Seat_3,Boolean,520,121,9
Seat_4,Boolean,418,115,9
Seat_5,Boolean,294,123,9
Seat_6,Boolean,448,49,8
Seat_7,Boolean,395,126,9
Seat_8,Boolean,1207,149,9
Seat_9,Boolean,1092,220,9
Sound_C,Numeric,78741,378,9
Sound_L,Numeric,34005,217,9
Sound_P,Numeric,159560,673,9
Sound_R,Numeric,104228,504,9
Temperature_1,Numeric,170691,508,9
Temperature_2,Numeric,162620,487,9
